id_eess;codigo_renaes;categoria;nombre;diresa;red;direccion;longitud;latitud;id_ubigeo
12628;12947;II-E;CLINICA SANTA MARIA;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CALLE LAS AGUILAS NO. 360 URB. LIMATAMBO DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0261531;-12.1034121;1321
12771;13091;I-3;CENTRO DE ATENCION PRIMARIA III SURQUILLO;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV LOS HALCONES 414 URB LIMATAMBO AV LOS HALCONES 414 URB LIMATAMBO SURQUILLO LIMA LIMA;-77.020628;-12.1042369;1321
12925;13246;SD;CELAR EIRL;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CALLE GHIBERTI 171-177 URB LA CALERA DE LA MERCED DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-76.9984972;-12.1158733;1321
13517;13845;I-3;MEDICOS SALUD;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CALLE ALBERT EINSTEIN MZ H LOTE 22, 1ER PISO - URB LA CALERA DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0024664;-12.1170501;1321
15739;16195;I-1;CONSULTORIO PSICOLOGICO VIVE-RIE-AMA;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CALLE WILLIAMS 288 - URB LA CALERA DE LA MERCED DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.00193975;-12.11373598;1321
16488;17033;I-3;JOBMEDIC;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV. ANGAMOS ESTE NRO. 2506 INT. 102 Y 301 URB. CALERA DE LA MERCED DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.00194872;-12.11209144;1321
17176;17733;I-1;SMILES-DENTAL CARE;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV. MANUEL VILLARAN 841, URBANIZACION LOS SAUCES DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0032508;-12.1205515;1321
17669;18242;I-1;DENTAL SYSTEM E.I.R.L.;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CALLE ALFA AGUILA 108 (CONSULTORIO 03) URB LA CALERA DE LA MERCED DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.00353164;-12.11813122;1321
20056;20645;I-3;MEDICAL ASSISTANT;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV. TOMAS MARSANO N° 2147 - URB. LA AURORA DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0052026;-12.1224303;1321
20386;20978;I-1;DENTAL CARPIO;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;JIRÓN JIRON DANTE 781 - 2DO. PISO DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0255857;-12.1134156;1321
21909;23434;I-3;HOLOMEDIC;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;PASAJE PARQUE LA INDIA NÚMERO 169 URBANIZACIÓN LOS SAUCES II DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.00206568;-12.11973034;1321
21984;23509;I-3;MEDICINA EMPRESARIAL DE PREVENCIÓN EN SALUD OCUPACIONAL SAC;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA ANGAMOS ESTE NÚMERO 2624 URBANIZACIÓN VIPEP DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-76.9968294;-12.1117273;1321
22210;23752;I-3;OISO;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE GABRIELA MISTRAL NÚMERO 216 PISO 1 DEPARTAMENTO 101 INTERIOR 201 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.00568772;-12.11346038;1321
22270;23812;I-3;MEDICAL CHECK;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE DOMINGO ELIAS NÚMERO 736 Y 740 PISO 4 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.024066;-12.112334;1321
22373;23920;SD;SANNA DIVISIÓN AMBULATORIA;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE Victor Alzamora NÚMERO 460 URBANIZACIÓN Del Medico DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.01302264;-12.11592836;1321
22557;24108;SD;G.F.G. LABORATORIOS S.A.C.;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;PASAJE El Sauzal NÚMERO 105 URBANIZACIÓN Los Sauces DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0051418;-12.1218181;1321
24307;25930;II-E;CLINICA SANENS;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA PROLONGACIÓN RICARDO PALMA 298 ALTURA DEL VÍA EXPRESA CON RICARDO PALMA SURQUILLO LIMA LIMA;-77.02486631;-12.11917566;1321
24421;26046;SD;CENTRO LATINOAMERICANO G Y N DE REHABILITACIÓN S.R.L;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE GHIBERTI NÚMERO 171 Y 177 PISO 1 URBANIZACIÓN CALERA DE LA MERCED DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-76.9984983;-12.1158671;1321
24438;26064;I-1;CONSULTORIO DENTAL MV DENTAL GROUP;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE LAS PALOMAS NÚMERO 415 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.02442563;-12.10366784;1321
25018;26689;I-1;DIAMODENT S.A.C;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;JIRÓN Francisco Moreno NÚMERO 770 PISO 1 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0190228;-12.1157347;1321
25097;26784;I-2;CONSULTORIO MEDICO HERMOZAPOLICH;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE Sanzio N?ERO 156 PISO 1 URBANIZACI? La calera de la merced DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-76.99827141;-12.1153289;1321
25437;27136;SD;HUAMBO MEDICA : DEPORTE - TECNOLOGÍA - SALUD.;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE EL ALHELI MANZANA O LOTE 3 URBANIZACIÓN LOS SAUCES 2ª ETAPA DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.002793;-12.122909;1321
25480;27181;I-2;CONSULTORIO MEDICO DE SEDAPAL- SEDE SURQUILLO;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA ANGAMOS ESTE N?ERO 1450 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.016678;-12.112988;1321
26126;27854;SD;MEDICO SALUD;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE ALBERT EINSTENS PISO 1 MANZANA H LOTE 22 URBANIZACI? LA CALERA DE LA MERCED DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0059138;-12.1137264;1321
27350;29123;I-1;VILLA 9'20;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE LAS AGUILAS NÚMERO 394 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0262045;-12.102935;1321
27523;29300;I-2;GO VISION;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;OTROS JR. SAN CARLOS No 319 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0229601;-12.1143165;1321
27619;29405;SD;LABORATORIO CLINICO BRUNERS LAB;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;JIRÓN DANTE NÚMERO 772 PISO 2 INTERIOR 2 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.02317572;-12.11373574;1321
28063;29867;I-3;GAMMA MEDICA SERVICIOS MEDICOS;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA ANGAMOS 2536-2540 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0014753;-12.1120485;1321
28149;29956;I-2;ESTETICA MCH;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA GUARDIA CIVIL NÚMERO 1321 PISO 14 DEPARTAMENTO 1401 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0153122;-12.1041528;1321
28212;30021;I-1;VITA DENT;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA REPUBLICA DE PANAMA NÚMERO 5201 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.018164;-12.1162879;1321
28482;30304;I-2;SPARTA CENTRO MEDICO;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AVIACION NÚMERO 3944 PISO 8 INTERIOR 801 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-76.999687;-12.1149092;1321
28637;30468;I-1;DENTAL NEGRON;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;JIRÓN Dante NÚMERO 305 PISO 2 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0228248;-12.1172774;1321
28643;30474;SD;SUIZA ALERTA;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE INCA NÚMERO 1036 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0213638;-12.1106812;1321
28683;30514;I-2;OSI;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AVIACION NÚMERO 4004 URBANIZACIÓN La Calera de la Merced DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-76.99932016;-12.11632937;1321
28690;30522;I-1;CONSULTORIO DENTAL SMILE FACTORY;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE JUAN BIELOVUCIC 282 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.00497291;-12.11983033;1321
28708;30545;I-2;DR. ESAUD;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA TOMAS MARZANO NÚMERO 2403 PISO 1 MANZANA K LOTE 30 URBANIZACIÓN LOS SAUCES DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0039736;-12.1240966;1321
28719;30556;I-2;CONSULTORIOS MEDICOS DE GERIATRIA ESTOMATOLOGIA Y SALUD MENTAL;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE LAS TIENDAS NÚMERO 290 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.02065981;-12.1030594;1321
30387;32343;I-2;ZAZA MED LASER CENTER;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA PRINCIPAL NÚMERO 670 URBANIZACIÓN LAS ORQUIDEAS DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0058622;-12.11770729;1321
30513;32476;I-1;SORRISO DENT;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;JIRÓN MOROCOCHA NÚMERO 176 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0195762;-12.1068881;1321
30668;32642;I-1;DESIGN ATELIER ORAL;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA GUARDIA CIVIL 1321 OFICINA 402 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0161661;-12.1064384;1321
30705;32684;I-1;ODONTOBIO;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA MANUEL VILLARAN NÚMERO 782 PISO 2 DEPARTAMENTO 202 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.00395501;-12.12115465;1321
30706;32685;I-1;CAVA ODONTOLOGIA ESPECIALIZADA;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;JIRÓN MANUEL IRRIBARREN NÚMERO 259 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0217376;-12.1176049;1321
31045;33091;SD;MD MOVIL SOLUTION;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE LAS AGUILAS NÚMERO 360 PISO 1 INTERIOR 102 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0262093;-12.10342131;1321
31812;33960;I-3;AC SALUD Y MEDIO AMBIENTE E.I.R.L.;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;JIRÓN MOROCOCHA NÚMERO 198 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.019649;-12.106907;1321
32098;34290;I-1;INTERAMERICANA DE ODONTOLOGIA;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE LAS AGUILAS NÚMERO 243 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0265579;-12.1045682;1321
32112;34316;SD;CENTRO DE REHABILITACION LOS ALAMOS;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA GUARDIA CIVIL 1321 DPTO OF 801 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0161661;-12.1064384;1321
32459;34753;I-2;CENTRO PERUANO DE GINECOLOGIA ONCOLOGICA;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA ANGAMOS ESTE NÚMERO 2506 PISO 4 DEPARTAMENTO 402 INTERIOR 402 DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0020087;-12.1120724;1321
32548;34858;SD;IMAGENES ONCOLOGICAS EIRL;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA GUARDIA CIVIL NÚMERO 1321 PISO 7 INTERIOR 704 URBANIZACIÓN URB. EL AEROPUERTO DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0164905;-12.1064763;1321
32809;35195;I-1;ELEMENTO DENTAL;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE LA PERA NÚMERO 415 URBANIZACIÓN Los Sauces II DISTRITO SURQUILLO PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0033509;-12.1200309;1321
6195;6198;I-3;CENTRO DE SALUD SAN MIGUEL;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV LIBERTAD  AV LOS MOCHICAS S/N S/N AV LIBERTAD  AV LOS MOCHICAS S/N SAN MIGUEL LIMA LIMA;-77.0987145;-12.0813992;1316
6196;6199;I-2;PUESTO DE SALUD HUACA PANDO;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;OTROS LOS SAUCES MZ B-II NOVENA ETAPA LOS SAUCES MZ B-II NOVENA ETAPA SAN MIGUEL LIMA LIMA;-77.083277;-12.061614;1316
8268;8564;II-1;HOSPITAL I OCTAVIO MONGRUT MUÑOZ;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA PARQUE DE LAS LEYENDAS 255 SAN MIGUEL LIMA LIMA;-77.0945832;-12.0659612;1316
8287;8583;I-1;CENTRO ODONTOLOGICO AMERICANO - SAN MIGUEL;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CALLE MONSEÑOR JORGE DINTILHAC 717 - URB PANDO 1ERA ETAPA DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0852501;-12.0761574;1316
8638;8934;I-3;DENTAL HOUSE CLINICAS ODONTOLOGICAS;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;JIRÓN JR UCAYALI 164 URB PANDO SAN MIGUEL DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.08289748;-12.07546397;1316
8869;9167;I-3;CENTRO MEDICO SANTA ADELA SAC;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CALLE SAYCUSCA 244-246 URB. MARANGA DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0974571;-12.0712152;1316
9066;9364;I-1;OLIVOSDENT;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;JIRÓN JR. UCAYALI 109-201 SAN MIGUEL JR. UCAYALI 109-201 SAN MIGUEL SAN MIGUEL LIMA LIMA;-77.08315394;-12.075648;1316
9507;9805;I-3;SERVICIO DE SALUD;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AVENIDA UNIVERSITARIA 1801 DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0781351;-12.0687255;1316
9756;10054;I-3;ASOCIACION CIVIL IMPACTA SALUD Y EDUCACION SEDE SAN MIGUEL;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CALLE PUTUMAYO Nº 177 (1ER 2DO Y 3ER PISO) -  URB PANDO DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0881034;-12.0686147;1316
10051;10352;I-1;CERDENT SAN MIGUEL;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;JIRÓN JR CHACHANI 145, 1ER PISO, CONSULTORIO 3, URB MARANGA DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0986383;-12.0687169;1316
10054;10355;I-1;COSAMIDENT;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;JIRÓN JR CHACHANI Nº 145, 1ER. PISO URB MARANGA DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0928139;-12.0696926;1316
11097;11401;II-2;CLINICA SAN JUDAS TADEO;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CALLE MANUEL RAYGADA Nº 170 (ANEXO EN CALLE LAUREANO MARTINEZ Nº 140) - URB EL CAMPILLO DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.080145;-12.080003;1316
11438;11746;I-2;CONSULTORIOS MÉDICOS ASISTENCIALES JESÚS REDENTOR;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CALLE LOS CANAMELARES 237 URB. MARANGA DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.10444883;-12.0764392;1316
12346;12661;I-1;ODAM ODONTOLOGIA;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV. BRIGIDA SILVA DE OCHOA NO 398 INT 503 DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.099613;-12.0803477;1316
14284;14718;II-E;HOSPITAL GERIATRICO PNP SAN JOSE;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;JIRÓN JR RAMON CASTILLA 590 DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.08067194;-12.08667016;1316
16285;16823;I-3;GESTION TRABAJO Y SALUD SAC;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AVENIDA LIMA Nº 220, 1ER Y 2DO PISO URBANIZACION UDIMA DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0767051;-12.0904323;1316
16983;17540;I-3;MEPSO;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AVENIDA UNIVERSITARIA 407, 1ER Y 2DO PISO URB PANDO 7MA ETAPA DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0838399;-12.0867487;1316
17216;17780;I-1;OD3 CLINICAS ODONTOLOGICAS;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CALLE UCAYALI 143 - URB. PANDO (ESPALDA C.C. PLAZA SAN MIGUEL) DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.08307798;-12.07492665;1316
19120;19703;SD;CINH MEJOR SALUD;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV. LA MARINA 3450 AV. LA MARINA 3450 SAN MIGUEL LIMA LIMA;-77.10206754;-12.07300021;1316
19614;20202;SD;ODONTOLOGIA INTEGRAL;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV. RIVA AGUERO NRO. 470 DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0846238;-12.080181;1316
19985;20574;I-3;HEALTHCARE GROUP PERU SAC;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV. RAFAEL ESCARDO 591 URB. MARANGA DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0927254;-12.07536914;1316
20384;20976;II-E;VISUAL CENTER CLINICA DE OJOS;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;AVENIDA AV. ELMER FAUCETT NO 170 DISTRITO SAN MIGUEL PROVINCIA LIMA DEPARTAMENTO LIMA;-77.0986708;-12.0724562;1316
21906;23431;I-3;CENTRO MEDICO MAPFRE - SEDE SAN MIGUEL;LIMA DIRIS CENTRO;NO PERTENECE A NINGUNA RED;CALLE CARDENAL GUEVARA 132 SAN MIGUEL LIMA LIMA;-77.093801;-12.0790475;1316
